experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,job_role_Analyst,job_role_Designer,job_role_Developer,job_role_Manager,job_role_Marketer,job_role_Writer,deadline_pressure_level_High,deadline_pressure_level_Low,deadline_pressure_level_Medium,productivity_score
19,11.8,28.5,19.2,1.4,1.9,2.3,0.2,2,7.1,4.8,10.0,0,0,0,0,0,1,1,0,0,81.0
4,10.8,24.1,23.3,2.6,8.0,9.8,1.82,3,3.4,5.5,6.78,0,1,0,0,0,0,0,1,0,59.2
6,25.9,69.4,10.0,1.4,6.8,8.9,5.52,5,4.6,3.8,9.66,0,0,1,0,0,0,0,0,1,62.4
20,7.9,17.2,25.1,0.2,3.5,8.6,1.14,5,5.6,3.9,10.0,0,0,0,1,0,0,1,0,0,76.8
15,8.6,20.6,20.1,1.4,5.9,5.3,2.75,10,1.0,7.4,5.38,0,0,1,0,0,0,0,1,0,53.7
4,16.1,34.9,22.1,1.4,1.0,4.6,3.27,5,6.0,4.7,9.0,1,0,0,0,0,0,0,0,1,54.3
5,7.5,20.2,22.8,2.0,2.7,4.5,3.64,10,5.3,6.2,7.88,1,0,0,0,0,0,0,0,1,47.3
13,5.8,20.5,25.5,1.0,5.2,4.0,2.17,8,4.0,5.4,8.49,0,1,0,0,0,0,0,0,1,48.1
19,3.3,13.4,24.6,0.4,10.9,10.0,0.58,10,6.0,6.3,6.18,0,0,0,1,0,0,0,1,0,73.0
1,5.5,13.1,25.5,1.4,13.1,11.4,3.06,3,2.5,3.5,9.9,0,0,0,1,0,0,0,0,1,31.3
8,17.9,55.4,10.0,4.9,1.6,8.1,1.09,6,4.5,8.6,4.47,0,0,0,0,0,1,0,1,0,98.6
10,18.4,52.6,10.0,2.0,2.9,4.6,0.35,3,4.9,6.7,7.53,0,0,1,0,0,0,0,0,1,86.3
3,11.4,25.7,20.3,0.9,7.4,3.8,1.83,9,5.4,4.7,9.0,1,0,0,0,0,0,0,0,1,58.3
6,17.7,34.3,14.1,1.4,8.0,8.0,5.18,8,3.6,4.6,9.09,0,0,1,0,0,0,0,0,1,51.5
19,1.7,0.0,32.7,1.2,15.8,14.7,3.54,3,3.9,3.4,8.31,0,0,0,1,0,0,0,1,0,55.5
6,19.7,58.7,10.4,4.6,4.7,9.6,2.74,1,4.5,5.8,8.19,0,0,1,0,0,0,0,0,1,72.9
8,5.5,8.6,37.5,0.9,8.5,6.7,3.32,2,3.6,3.1,8.54,0,0,0,0,1,0,0,1,0,48.5
7,15.8,37.3,10.0,2.5,5.8,7.3,2.96,4,5.3,8.1,4.85,1,0,0,0,0,0,0,1,0,70.6
9,15.4,37.5,17.8,2.0,4.7,3.3,4.31,7,5.3,5.0,8.77,0,0,0,0,0,1,0,0,1,59.8
15,2.9,8.0,29.6,3.4,2.3,7.4,1.68,6,8.0,4.3,10.0,0,1,0,0,0,0,1,0,0,77.0
2,7.0,17.2,29.8,2.2,3.8,7.3,1.5,1,7.6,5.9,6.49,1,0,0,0,0,0,0,1,0,67.0
9,23.7,59.9,22.1,2.3,1.7,4.5,3.28,6,6.0,2.6,10.0,0,0,0,0,0,1,0,0,1,79.5
2,21.7,54.2,17.5,0.2,9.6,9.4,3.37,3,3.7,2.3,10.0,0,0,1,0,0,0,0,0,1,59.4
17,9.5,29.7,16.6,1.9,2.7,4.9,3.57,1,4.7,7.3,7.08,1,0,0,0,0,0,0,0,1,76.9
20,9.6,21.5,30.2,1.1,8.8,8.7,3.91,10,3.9,2.4,10.0,1,0,0,0,0,0,0,0,1,61.8
10,15.9,35.3,22.7,4.0,4.2,10.5,0.1,4,4.6,2.3,10.0,1,0,0,0,0,0,1,0,0,70.2
7,9.2,27.8,24.4,1.2,11.6,11.5,2.43,7,4.4,4.7,7.36,0,0,0,0,1,0,0,1,0,67.0
20,20.3,46.6,13.3,4.7,1.0,6.1,0.1,8,5.8,5.8,8.18,0,0,1,0,0,0,0,0,1,94.6
19,4.6,14.3,26.1,4.2,3.7,9.6,0.1,1,3.3,4.4,10.0,0,1,0,0,0,0,1,0,0,77.3
1,3.8,9.0,25.0,0.9,10.3,10.4,3.96,3,3.4,4.7,9.0,0,1,0,0,0,0,0,0,1,36.2
7,12.1,28.5,20.5,0.4,3.8,7.0,3.7,3,4.3,5.4,8.48,1,0,0,0,0,0,0,0,1,58.6
14,7.7,15.9,28.2,1.6,1.0,10.3,0.33,8,5.4,6.8,5.81,0,0,0,0,1,0,0,1,0,84.3
6,15.8,41.8,19.1,0.8,4.0,6.0,4.73,7,6.1,6.3,6.18,1,0,0,0,0,0,0,1,0,74.0
5,3.1,11.8,26.0,3.9,8.1,11.0,0.1,4,3.9,6.7,5.88,0,1,0,0,0,0,0,1,0,58.1
3,10.9,19.8,25.6,3.7,4.8,10.0,0.1,1,4.3,5.7,6.63,0,0,1,0,0,0,0,1,0,61.2
1,16.8,41.5,14.9,0.9,1.0,5.7,5.69,2,6.3,7.8,5.06,0,0,1,0,0,0,0,1,0,69.0
12,5.2,18.2,29.3,0.7,1.0,7.3,2.45,1,5.7,5.6,8.33,0,0,0,0,0,1,0,0,1,73.1
6,24.0,64.0,10.0,2.3,10.3,8.7,5.15,8,3.7,4.9,7.21,0,0,1,0,0,0,0,1,0,70.5
13,17.0,46.6,10.0,2.7,1.7,6.4,4.1,7,5.9,7.3,7.07,0,0,0,0,0,1,0,0,1,78.8
20,9.0,28.6,15.2,2.3,3.6,4.6,1.32,7,3.9,7.6,6.87,0,0,0,0,0,1,0,0,1,75.1
15,3.2,8.2,32.2,2.7,10.9,11.3,2.95,5,2.4,2.9,10.0,0,0,0,0,1,0,0,0,1,43.4
8,8.6,23.7,23.3,2.9,7.1,7.1,1.54,4,5.3,4.8,8.94,0,0,0,0,1,0,0,0,1,60.5
8,12.8,29.1,10.0,1.0,3.0,9.6,0.29,2,4.7,8.0,6.55,0,0,0,0,0,1,0,0,1,69.4
12,16.8,48.0,22.9,1.4,2.8,6.4,1.68,10,4.2,3.9,9.6,0,0,1,0,0,0,0,0,1,73.7
1,14.1,31.6,20.2,4.0,4.9,3.2,0.1,2,2.7,4.7,9.0,1,0,0,0,0,0,0,0,1,57.3
5,8.6,27.7,20.0,2.1,7.3,4.6,1.11,8,4.6,7.0,5.65,1,0,0,0,0,0,0,1,0,67.4
10,7.2,15.0,27.1,4.4,5.9,7.5,0.91,7,6.1,5.9,6.46,0,1,0,0,0,0,0,1,0,71.2
18,0.7,0.0,24.0,1.7,3.8,3.4,2.21,3,4.6,7.4,7.01,0,0,0,0,1,0,0,0,1,65.3
4,8.4,24.6,30.4,4.0,4.0,5.3,3.1,8,5.4,3.8,9.67,0,0,0,0,0,1,0,0,1,50.5
18,25.0,66.4,12.7,0.8,4.1,8.9,2.11,4,4.7,2.5,10.0,0,0,1,0,0,0,1,0,0,91.4
19,2.3,10.1,27.7,3.4,18.8,13.5,1.36,5,1.4,3.8,8.03,0,0,0,1,0,0,0,1,0,63.3
9,7.0,21.0,21.6,2.0,17.4,11.0,1.99,1,2.6,4.5,7.51,0,0,0,1,0,0,0,1,0,53.1
6,11.0,23.1,23.9,1.0,3.8,7.2,3.21,3,4.9,4.8,8.92,0,0,0,0,1,0,0,0,1,47.6
4,0.0,0.2,20.8,1.3,1.0,2.0,2.23,5,7.6,7.6,8.51,0,1,0,0,0,0,1,0,0,55.4
12,4.9,14.3,26.5,1.9,29.1,20.0,2.88,5,1.0,1.0,10.0,0,0,0,1,0,0,0,0,1,42.2
19,20.5,51.0,19.6,1.6,3.2,7.7,2.8,7,5.5,2.2,10.0,0,0,0,0,0,1,1,0,0,82.8
1,5.6,19.4,26.6,1.1,4.2,11.8,4.37,2,5.4,3.9,10.0,1,0,0,0,0,0,1,0,0,40.0
13,22.3,52.3,10.0,0.8,5.5,4.2,4.01,1,5.2,3.6,10.0,0,0,1,0,0,0,1,0,0,76.8
7,7.5,18.2,18.4,3.8,12.1,12.5,0.88,7,4.0,5.0,8.78,0,0,0,1,0,0,0,0,1,41.9
19,10.3,24.9,20.3,3.5,2.9,4.5,2.94,9,6.2,4.6,10.0,0,0,0,0,1,0,1,0,0,73.9
3,22.4,57.0,13.7,1.0,1.2,4.5,3.23,8,4.8,6.7,5.89,0,0,0,0,1,0,0,1,0,81.7
17,4.8,8.5,22.8,1.3,10.1,7.3,0.94,2,4.0,5.1,8.71,1,0,0,0,0,0,0,0,1,64.2
15,11.3,25.2,26.1,2.6,6.5,8.0,0.1,7,4.9,5.0,7.13,0,0,0,0,1,0,0,1,0,78.0
5,5.0,11.0,18.8,0.9,12.1,8.8,4.01,5,2.9,7.0,5.65,0,0,0,1,0,0,0,1,0,46.6
7,25.1,70.2,10.0,2.4,6.2,9.6,1.4,2,5.3,2.7,10.0,0,0,1,0,0,0,1,0,0,84.4
3,6.2,18.9,30.7,2.2,8.9,5.1,2.84,5,5.2,4.6,7.45,0,0,0,1,0,0,0,1,0,65.0
1,6.6,17.7,24.0,2.6,9.8,11.3,4.12,7,5.2,5.9,6.47,0,1,0,0,0,0,0,1,0,47.1
4,6.8,22.6,22.3,1.5,5.5,8.7,2.83,6,4.9,4.4,10.0,0,0,0,0,1,0,1,0,0,41.5
4,5.1,16.1,19.9,1.0,11.4,10.2,0.67,9,3.8,6.9,5.73,0,0,0,1,0,0,0,1,0,57.7
10,18.8,49.5,16.2,0.4,1.2,3.0,3.99,3,6.8,7.0,5.67,0,0,1,0,0,0,0,1,0,92.3
14,12.4,29.3,24.5,0.9,5.0,9.0,1.17,4,4.8,2.5,10.0,0,0,0,0,1,0,1,0,0,65.0
5,2.5,0.0,26.0,0.2,5.0,10.1,2.45,3,4.6,6.1,7.96,0,0,0,0,1,0,0,0,1,50.5
17,7.3,13.4,23.2,3.0,4.4,6.0,0.1,6,6.1,7.3,5.44,1,0,0,0,0,0,0,1,0,82.2
15,17.4,37.2,12.0,2.5,1.0,3.5,4.05,8,6.8,6.9,7.37,0,0,0,0,0,1,0,0,1,79.0
9,3.9,7.8,32.7,2.4,5.2,11.9,2.15,1,4.6,5.5,6.76,0,0,0,0,1,0,0,1,0,49.8
10,8.6,31.9,12.9,0.9,2.3,8.2,4.92,2,6.2,8.6,6.13,0,1,0,0,0,0,0,0,1,73.4
8,6.3,19.4,17.9,2.5,3.9,8.6,0.77,5,4.7,6.0,9.69,0,1,0,0,0,0,1,0,0,50.1
1,8.4,19.9,15.8,4.8,8.0,7.9,0.1,6,6.4,6.4,7.73,1,0,0,0,0,0,0,0,1,71.0
13,2.6,16.3,23.0,3.0,3.3,8.9,2.47,5,6.3,5.8,9.83,0,0,0,0,1,0,1,0,0,53.0
17,10.9,23.3,27.9,1.5,5.6,5.4,4.1,7,6.5,1.9,10.0,1,0,0,0,0,0,1,0,0,62.7
7,7.8,26.4,34.7,1.1,8.2,3.9,4.59,3,4.6,1.0,10.0,0,1,0,0,0,0,1,0,0,46.1
13,10.2,21.1,19.4,5.7,16.0,14.3,1.18,5,4.1,1.6,10.0,0,0,0,1,0,0,1,0,0,67.9
18,13.1,35.7,28.1,1.3,7.5,7.0,4.27,2,4.0,1.0,10.0,1,0,0,0,0,0,1,0,0,74.4
15,11.0,30.0,16.1,4.1,8.3,9.3,0.95,5,3.4,7.1,5.57,0,0,1,0,0,0,0,1,0,77.2
5,18.4,49.7,15.3,2.8,6.4,8.3,4.03,7,3.3,4.5,9.16,0,0,0,0,0,1,0,0,1,52.6
17,7.1,18.8,25.5,0.7,7.9,11.8,0.1,10,4.6,4.4,9.23,1,0,0,0,0,0,0,0,1,68.3
7,17.7,41.6,12.6,3.0,6.4,9.1,3.39,10,5.7,3.8,10.0,1,0,0,0,0,0,1,0,0,69.1
14,15.4,38.3,19.4,2.6,7.2,8.9,1.82,9,4.4,5.5,6.77,0,0,1,0,0,0,0,1,0,80.7
9,20.1,43.4,15.9,2.4,6.4,7.2,3.78,2,5.6,5.4,6.84,0,0,0,0,0,1,0,1,0,70.6
17,14.6,37.8,17.9,1.0,1.0,4.7,3.8,6,4.9,4.6,10.0,0,0,1,0,0,0,1,0,0,58.6
19,11.0,25.7,16.6,4.7,5.3,6.9,0.1,8,5.3,7.8,5.07,0,0,0,0,1,0,0,1,0,82.4
16,2.0,9.6,26.3,2.4,21.5,11.6,3.16,7,1.7,3.6,8.19,0,0,0,1,0,0,0,1,0,48.1
11,7.3,16.2,19.1,4.4,11.4,12.6,2.94,1,3.0,6.5,6.02,0,0,0,1,0,0,0,1,0,53.9
18,4.9,13.9,21.9,1.4,2.7,8.7,1.52,1,4.6,8.6,4.47,0,1,0,0,0,0,0,1,0,80.3
14,6.8,20.5,13.0,2.1,11.8,9.8,0.81,8,4.2,8.1,4.85,0,0,0,1,0,0,0,1,0,78.1
4,13.8,29.8,17.3,2.9,2.1,4.1,1.12,8,6.3,7.7,5.14,1,0,0,0,0,0,0,1,0,77.1
1,6.1,19.4,21.3,1.6,14.9,9.4,3.79,9,1.9,2.4,10.0,0,0,0,1,0,0,1,0,0,31.7
5,3.0,3.2,24.7,2.0,13.5,14.9,2.91,1,1.0,4.2,9.37,0,0,0,1,0,0,0,0,1,29.2
15,8.4,25.3,22.7,4.8,1.0,3.1,0.1,2,5.7,6.5,7.68,0,0,0,0,0,1,0,0,1,90.4
10,10.8,36.6,12.1,1.1,2.8,4.5,3.57,1,6.5,8.1,6.49,1,0,0,0,0,0,0,0,1,75.0
5,6.8,8.6,26.6,0.1,6.8,8.8,2.62,9,5.5,4.5,9.16,0,0,0,0,1,0,0,0,1,47.5
20,16.9,39.1,19.5,0.9,1.0,6.0,2.5,9,7.0,3.6,10.0,0,0,1,0,0,0,1,0,0,83.2
20,13.6,33.6,23.9,4.3,2.8,7.7,0.1,5,6.8,2.9,10.0,0,0,0,0,1,0,1,0,0,95.5
16,4.4,10.0,22.2,0.2,5.0,6.8,4.4,4,6.2,5.1,10.0,0,1,0,0,0,0,1,0,0,68.5
20,7.9,27.3,19.4,2.8,7.0,9.7,0.37,7,4.0,5.9,8.11,0,0,0,0,1,0,0,0,1,81.3
5,11.5,21.6,20.5,1.4,10.1,9.3,4.88,5,2.5,2.5,10.0,0,0,0,1,0,0,1,0,0,43.2
12,15.8,37.6,13.1,0.1,10.2,13.1,4.94,9,4.5,6.2,6.25,0,0,1,0,0,0,0,1,0,63.1
7,5.9,13.6,27.3,1.2,6.7,5.3,2.71,4,3.2,6.0,6.39,0,1,0,0,0,0,0,1,0,41.8
16,7.7,14.0,31.8,3.6,2.6,6.2,0.78,7,7.3,4.0,9.53,0,1,0,0,0,0,0,0,1,70.6
7,11.3,22.6,21.3,0.3,4.8,4.8,3.08,2,4.9,5.2,8.64,0,0,0,0,1,0,0,0,1,55.5
19,18.7,49.0,13.9,1.9,6.4,9.3,0.68,2,5.0,6.2,6.24,0,0,0,0,0,1,0,1,0,94.1
1,14.2,34.7,19.2,0.8,6.8,9.3,3.38,6,7.0,4.5,9.16,0,0,0,0,1,0,0,0,1,68.8
15,15.8,34.7,25.4,2.1,1.0,6.7,3.0,5,5.9,2.4,10.0,0,0,1,0,0,0,1,0,0,76.0
6,18.3,43.2,10.0,1.9,4.0,8.3,0.81,2,4.2,7.9,4.99,0,0,1,0,0,0,0,1,0,84.3
